termek;szin;meret;m2;db;ossz_m2;egyseg_ar;netto_ar;kod
ZILLE/P;Wotan tölgy;125x397;0.050;15;0.7440;2,60;39,00;NFA_ZI_WTF_125x397
ZILLE/P;Wotan tölgy;718x297;0.213;15;3.1980;11,18;167,70;NFA_ZI_WTF_718x297
ZILLE/P;Palo Santo Beige;115x597;0.069;20;1.3740;3,44;68,80;NFA_ZI_BGAS_115x597
LAURA/D;Dune Beige;718x497;0.357;30;10.7040;20,41;612,30;NFA_LU_KAFS_718x497
R3;Magasfényű fehér;718x297;0.213;50;10.6600;11,43;571,50;NFA_ANT_FFMM_718x297
R3;Magasfényű fehér;293x597;0.175;45;7.8705;9,38;422,10;NFA_ANT_FFMM_293x597
R3;Magasfényű latte;718x547;0.393;5;1.9635;22,47;112,35;NFA_ANT_CPMM_718x547
R3;Magasfényű latte;718x420;0.302;15;4.5240;17,25;258,75;NFA_ANT_CPMM_718x420
R3;Magasfényű latte;718x397;0.285;35;9.9750;16,30;570,50;NFA_ANT_CPMM_718x397
R3;Magasfényű latte;718x347;0.249;15;3.7365;14,25;213,75;NFA_ANT_CPMM_718x347
R3;Magasfényű krém;718x420;0.302;10;3.0160;16,17;161,70;NFA_ANT_BGMM_718x420
R3;Magasfényű krém;718x297;0.213;40;8.5280;11,43;457,20;NFA_ANT_BGMM_718x297
R3;Magasfényű krém;357x597;0.213;40;8.5240;11,43;457,20;NFA_ANT_BGMM_357x597
R3;Cedar Green;718x547;0.393;5;1.9635;19,66;98,30;NFA_ANT_PRA_718x547
R3;Cedar Green;718x447;0.321;35;11.2315;16,06;562,10;NFA_ANT_PRA_718x447
R3;Cedar Green;718x397;0.285;40;11.4000;14,27;570,80;NFA_ANT_PRA_718x397
R3;Cedar Green;718x197;0.141;10;1.4140;7,08;70,80;NFA_ANT_PRA_718x197
R3;Cedar Green;590x297;0.175;15;2.6280;8,77;131,55;NFA_ANT_PRA_590x297
R3;Cedar Green;293x797;0.234;15;3.5025;11,69;175,35;NFA_ANT_PRA_293x797
R3;Cedar Green;125x597;0.075;20;1.4920;3,74;74,80;NFA_ANT_PRA_125x597
R3;Dune Beige;718x497;0.357;20;7.1360;17,86;357,20;NFA_ANT_KAF_718x497
R3;Dune Beige;718x397;0.285;50;14.2500;14,27;713,50;NFA_ANT_KAF_718x397
R3;Dune Beige;718x347;0.249;15;3.7365;12,47;187,05;NFA_ANT_KAF_718x347
R3;Dune Beige;718x197;0.141;15;2.1210;7,08;106,20;NFA_ANT_KAF_718x197
R3;Dune Beige;675x297;0.201;15;3.0075;10,03;150,45;NFA_ANT_KAF_675x297
R3;Dune Beige;590x397;0.234;15;3.5130;11,72;175,80;NFA_ANT_KAF_590x397
R3;Dune Beige;454x597;0.271;10;2.7100;13,57;135,70;NFA_ANT_KAF_454x597
R3;Dune Beige;293x597;0.175;50;8.7450;8,75;437,50;NFA_ANT_KAF_293x597
R3;Dune Beige;115x597;0.069;15;1.0305;3,44;51,60;NFA_ANT_KAF_115x597
R3;Artizán tölgy;718x397;0.285;20;5.7000;14,94;298,80;NFA_ANT_ARF_718x397
R3 - Üveges;Magasfényű krém;718x420;0.302;5;1.5080;16,17;80,85;NFAU_ANT_BGMM_718x420
R3 - Üveges;Cedar Green;718x420;0.302;5;1.5080;15,09;75,45;NFAU_ANT_PRA_718x420
R3 - Üveges;Cedar Green;718x420;0.302;5;1.5080;15,09;75,45;NFAU_ANT_PRA_718x420
LAURA/D;Matt Dusk White;820x594;0.487;1;0.4871;27,86;27,86;NFAY_LU_FEA_820x594
LAURA/D;Matt Dusk White;1610x594;0.956;1;0.9563;54,70;54,70;NFAY_LU_FEA_1610x594
R3;Magasfényű fehér;452x444;0.201;2;0.4014;10,76;21,52;NFAY_ANT_FFMM_452x444
R3;Magasfényű fehér;2050x400;0.820;1;0.8200;43,97;43,97;NFAY_ANT_FFMM_2050x400
R3;Magasfényű fehér;2050x350;0.718;2;1.4350;38,47;76,94;NFAY_ANT_FFMM_2050x350
R3;Magasfényű fehér;1650x350;0.578;2;1.1550;30,97;61,94;NFAY_ANT_FFMM_1650x350
R3;Magasfényű krém;698x447;0.312;1;0.3120;16,73;16,73;NFAY_ANT_BGMM_698x447
R3;Magasfényű krém;698x396;0.276;2;0.5528;14,82;29,64;NFAY_ANT_BGMM_698x396
R3;Magasfényű krém;698x345;0.241;2;0.4816;12,91;25,82;NFAY_ANT_BGMM_698x345
R3;Magasfényű krém;667x602;0.402;1;0.4015;21,53;21,53;NFAY_ANT_BGMM_667x602
L1/P;Palo Santo Beige;125x797;0.100;10;0.9960;4,99;49,90;NFAB_ZI_BGAS_125x797
R3;Magasfényű fehér;718x250;0.180;15;2.6925;9,62;144,30;NFAH_ANT_FFMM_718x250
R3;Magasfényű krém;718x250;0.180;20;3.5900;9,62;192,40;NFAH_ANT_BGMM_718x250
ZILLE/P;Palo Santo Beige;655x397;0.260;10;2.6000;13,01;130,10;NFAIA_ZI_BGAS_655x397_J
ZILLE/P;Palo Santo Beige;655x397;0.260;10;2.6000;13,01;130,10;NFAIA_ZI_BGAS_655x397_B
R3;Magasfényű latte;718x147;0.106;2;0.2110;6,04;12,08;NFAY_ANT_CPMM_718x147
ZILLE/P;Palo Santo Beige;293x597;0.175;4;0.6996;8,75;35,00;NFA_ZI_BGAS_293x597
ZILLE/P - Üveges;Palo Santo Beige;718x397;0.285;2;0.5700;14,27;28,54;NFAU_ZI_BGAS_718x397
ZILLE/P;Uni Beige;718x397;0.285;2;0.5700;14,27;28,54;NFA_ZI_BGF_718x397
LAURA/D;Matt Dusk White;590x427;0.252;1;0.2519;14,41;14,41;NFAY_LU_FEA_590x427
LAURA/D;Matt Dusk White;125x897;0.112;1;0.1121;6,41;6,41;NFA_LU_FEA_125x897
R3;Matt Platinum Grey;718x447;0.321;2;0.6418;16,06;32,12;NFA_ANT_SZA_718x447
R3;Matt antracit;724x525;0.380;1;0.3801;19,02;19,02;NFAY_ANT_GFA_724x525
R3;Matt Dusk White;718x322;0.231;2;0.4624;11,57;23,14;NFA_ANT_FEA_718x322
