termek;szin;meret;m2;db;ossz_m2;egyseg_ar;netto_ar;kod
ZILLE/P;Palo Santo Beige;718x597;0.429;35;15.0010;21,45;750,75;NFA_ZI_BGAS_718x597
ZILLE/P;Palo Santo Beige;718x547;0.393;5;1.9635;19,66;98,30;NFA_ZI_BGAS_718x547
ZILLE/P;Palo Santo Beige;718x447;0.321;45;14.4405;16,06;722,70;NFA_ZI_BGAS_718x447
ZILLE/P;Palo Santo Beige;718x420;0.302;15;4.5240;15,09;226,35;NFA_ZI_BGAS_718x420
ZILLE/P;Palo Santo Beige;718x397;0.285;60;17.1000;14,27;856,20;NFA_ZI_BGAS_718x397
ZILLE/P;Palo Santo Beige;718x347;0.249;5;1.2455;12,47;62,35;NFA_ZI_BGAS_718x347
ZILLE/P;Palo Santo Beige;718x342;0.246;5;1.2280;12,29;61,45;NFA_ZI_BGAS_718x342
ZILLE/P;Palo Santo Beige;718x197;0.141;5;0.7070;7,08;35,40;NFA_ZI_BGAS_718x197
ZILLE/P;Palo Santo Beige;590x397;0.234;10;2.3420;11,72;117,20;NFA_ZI_BGAS_590x397
ZILLE/P;Palo Santo Beige;590x297;0.175;15;2.6280;8,77;131,55;NFA_ZI_BGAS_590x297
ZILLE/P;Palo Santo Beige;454x597;0.271;5;1.3550;13,57;67,85;NFA_ZI_BGAS_454x597
ZILLE/P;Palo Santo Beige;357x260;0.093;10;0.9280;4,65;46,50;NFA_ZI_BGAS_357x260
ZILLE/P;Palo Santo Beige;357x243;0.087;10;0.8680;4,34;43,40;NFA_ZI_BGAS_357x243
ZILLE/P;Palo Santo Beige;293x897;0.263;5;1.3140;13,15;65,75;NFA_ZI_BGAS_293x897
ZILLE/P;Palo Santo Beige;293x497;0.146;20;2.9120;7,29;145,80;NFA_ZI_BGAS_293x497
ZILLE/P;Palo Santo Beige;293x447;0.131;20;2.6200;6,56;131,20;NFA_ZI_BGAS_293x447
ZILLE/P;Palo Santo Beige;293x397;0.116;25;2.9075;5,82;145,50;NFA_ZI_BGAS_293x397
ZILLE/P;Palo Santo Beige;1313x597;0.784;5;3.9195;39,23;196,15;NFA_ZI_BGAS_1313x597
ZILLE/P;Palo Santo Beige;125x797;0.100;15;1.4940;4,99;74,85;NFA_ZI_BGAS_125x797
ZILLE/P;Palo Santo Beige;125x597;0.075;10;0.7460;3,74;37,40;NFA_ZI_BGAS_125x597
ZILLE/P;Palo Santo Beige;125x397;0.050;15;0.7440;2,48;37,20;NFA_ZI_BGAS_125x397
LAURA/D;Cedar Green;590x397;0.234;10;2.3420;13,40;134,00;NFA_LU_PRAS_590x397
LAURA/D;Cedar Green;454x597;0.271;10;2.7100;15,50;155,00;NFA_LU_PRAS_454x597
LAURA/D;Dune Beige;718x447;0.321;50;16.0450;18,36;918,00;NFA_LU_KAFS_718x447
LAURA/D;Dune Beige;718x197;0.141;15;2.1210;8,09;121,35;NFA_LU_KAFS_718x197
LAURA/D;Dune Beige;590x297;0.175;15;2.6280;10,02;150,30;NFA_LU_KAFS_590x297
LAURA/D;Dune Beige;293x897;0.263;5;1.3140;15,03;75,15;NFA_LU_KAFS_293x897
LAURA/D;Dune Beige;293x797;0.234;20;4.6700;13,36;267,20;NFA_LU_KAFS_293x797
LAURA/D;Dune Beige;293x597;0.175;10;1.7490;10,01;100,10;NFA_LU_KAFS_293x597
LAURA/D;Dune Beige;125x797;0.100;15;1.4940;5,70;85,50;NFA_LU_KAFS_125x797
LAURA/D;Mist Grey;718x197;0.141;10;1.4140;8,09;80,90;NFA_LU_GFAS_718x197
LAURA/D;Palo Santo Beige;718x197;0.141;10;1.4140;8,09;80,90;NFA_LU_BGAS_718x197
LAURA/D;Palo Santo Beige;590x397;0.234;10;2.3420;13,40;134,00;NFA_LU_BGAS_590x397
LAURA/D;Pure White;293x797;0.234;25;5.8375;13,36;334,00;NFA_LU_FEAS_293x797
R3;Mist Grey;293x797;0.234;25;5.8375;11,69;292,25;NFA_ANT_GFAS_293x797
R3;Pure White;590x297;0.175;10;1.7520;8,77;87,70;NFA_ANT_FEAS_590x297
R3;Pure White;357x447;0.160;5;0.7980;7,99;39,95;NFA_ANT_FEAS_357x447
R3;Pure White;293x797;0.234;10;2.3350;11,69;116,90;NFA_ANT_FEAS_293x797
R3;Magasfényű fehér;718x243;0.175;5;0.8725;9,36;46,80;NFA_ANT_FFMM_718x243
R3;Magasfényű latte;357x897;0.320;5;1.6010;18,32;91,60;NFA_ANT_CPMM_357x897
R3;Magasfényű latte;125x897;0.112;5;0.5605;6,41;32,05;NFA_ANT_CPMM_125x897
R3;Magasfényű krém;590x297;0.175;5;0.8760;9,40;47,00;NFA_ANT_BGMM_590x297
R3;Magasfényű krém;357x897;0.320;10;3.2020;17,17;171,70;NFA_ANT_BGMM_357x897
R3;Magasfényű krém;125x597;0.075;10;0.7460;4,00;40,00;NFA_ANT_BGMM_125x597
R3;Magasfényű antracit;718x497;0.357;25;8.9200;20,41;510,25;NFA_ANT_ANMM_718x497
R3;Dune Beige;718x597;0.429;40;17.1440;21,45;858,00;NFA_ANT_KAF_718x597
R3;Dune Beige;357x797;0.285;10;2.8450;14,24;142,40;NFA_ANT_KAF_357x797
ZILLE/P - Üveges;Palo Santo Beige;590x397;0.234;15;3.5130;11,72;175,80;NFAU_ZI_BGAS_590x397
LAURA/D - Üveges;Dune Beige;718x397;0.285;5;1.4250;16,30;81,50;NFAU_LU_KAFS_718x397
ZILLE/P;Palo Santo Beige;718x297;0.213;5;1.0660;10,67;53,35;NFA_ZI_BGAS_718x297
ZILLE/P;Palo Santo Beige;718x297;0.213;5;1.0660;10,67;53,35;NFA_ZI_BGAS_718x297
LAURA/D;Matt provence;300x600;0.180;1;0.1800;10,30;10,30;NFAY_LU_PRA_300x600
R3;Magasfényű fehér;718x47;0.034;1;0.0337;1,81;1,81;NFAY_ANT_FFMM_718x47
R3;Magasfényű fehér;718x128;0.092;1;0.0919;4,93;4,93;NFAY_ANT_FFMM_718x128
R3;Magasfényű latte;718x47;0.034;1;0.0337;1,93;1,93;NFAY_ANT_CPMM_718x47
R3;Magasfényű latte;718x128;0.092;1;0.0919;5,26;5,26;NFAY_ANT_CPMM_718x128
R3;Magasfényű antracit;875x597;0.522;1;0.5224;29,88;29,88;NFAY_ANT_ANMM_875x597
R3;Magasfényű antracit;875x589;0.515;2;1.0308;29,48;58,96;NFAY_ANT_ANMM_875x589
R3;Magasfényű fehér;718x147;0.106;2;0.2110;5,66;11,32;NFAY_ANT_FFMM_718x147
R3;Magasfényű fehér;357x147;0.053;1;0.0525;2,81;2,81;NFAY_ANT_FFMM_357x147
R3;Magasfényű latte;357x147;0.053;1;0.0525;3,00;3,00;NFAY_ANT_CPMM_357x147
Platt;Palo Santo Beige;718x250;0.180;10;1.7950;8,98;89,80;NFAH_ZI_BGAS_718x250
Dfoz;Dune Beige;718x250;0.180;20;3.5900;10,27;205,40;NFAH_LU_KAFS_718x250
ZILLE/P;Wotan tölgy;655x397;0.260;15;3.9000;13,63;204,45;NFAIA_ZI_WTF_655x397_J
ZILLE/P;Uni Beige;718x547;0.393;1;0.3927;19,66;19,66;NFA_ZI_BGF_718x547
ZILLE/P - Üveges;Uni Beige;718x397;0.285;2;0.5700;14,27;28,54;NFAU_ZI_BGF_718x397
R3;Matt Platinum Grey;718x447;0.321;1;0.3209;16,06;16,06;NFA_ANT_SZA_718x447
LAURA/D;Matt provence;357x897;0.320;1;0.3202;18,32;18,32;NFA_LU_PRA_357x897
R3;Matt antracit;718x420;0.302;1;0.3016;15,09;15,09;NFA_ANT_GFA_718x420
LAURA/D;Matt Dusk White;718x597;0.429;1;0.4286;24,52;24,52;NFA_LU_FEA_718x597
R3;Dune Beige;675x497;0.336;1;0.3355;16,79;16,79;NFA_ANT_KAF_675x497
