termek;szin;meret;m2;db;ossz_m2;egyseg_ar;netto_ar;kod
ZILLE/P;Palo Santo Beige;293x597;0.175;20;3.4980;8,75;175,00;NFA_ZI_BGAS_293x597
LAURA/D;Dune Beige;718x597;0.429;80;34.2880;24,52;1961,60;NFA_LU_KAFS_718x597
LAURA/D;Dune Beige;718x397;0.285;95;27.0750;16,30;1548,50;NFA_LU_KAFS_718x397
R3;Magasfényű fehér;718x547;0.393;5;1.9635;21,06;105,30;NFA_ANT_FFMM_718x547
R3;Magasfényű latte;718x447;0.321;30;9.6270;18,36;550,80;NFA_ANT_CPMM_718x447
R3;Magasfényű krém;718x497;0.357;15;5.3520;19,13;286,95;NFA_ANT_BGMM_718x497
R3;Magasfényű krém;590x597;0.352;10;3.5220;18,89;188,90;NFA_ANT_BGMM_590x597
R3;Magasfényű krém;1313x597;0.784;5;3.9195;42,03;210,15;NFA_ANT_BGMM_1313x597
R3;Magasfényű antracit;718x397;0.285;35;9.9750;16,30;570,50;NFA_ANT_ANMM_718x397
ZILLE/P - Üveges;Palo Santo Beige;718x397;0.285;10;2.8500;14,27;142,70;NFAU_ZI_BGAS_718x397
R3 - Üveges;Magasfényű krém;718x420;0.302;5;1.5080;16,17;80,85;NFAU_ANT_BGMM_718x420
Dfoz;Dune Beige;718x197;0.141;2;0.2828;8,09;16,18;NFAH_LU_KAFS_718x197
Dfoz;Dune Beige;718x147;0.106;1;0.1055;6,04;6,04;NFAY_LU_KAFS_718x147
LAURA/D;Dune Beige;1313x547;0.718;1;0.7182;41,08;41,08;NFAY_LU_KAFS_1313x547
Dfoz;Dune Beige;1313x147;0.193;1;0.1930;11,04;11,04;NFAY_LU_KAFS_1313x147
LAURA/D;Matt provence;320x600;0.192;1;0.1920;10,98;10,98;NFAY_LU_PRA_320x600
LAURA/D;Matt Dusk White;1028x596;0.613;1;0.6127;35,05;35,05;NFAY_LU_FEA_1028x596
R3;Cedar Green;824x590;0.486;1;0.4862;24,33;24,33;NFAY_ANT_PRA_824x590
R3;Cedar Green;720x355;0.256;3;0.7668;12,79;38,37;NFAY_ANT_PRA_720x355
R3;Magasfényű latte;357x577;0.206;1;0.2060;11,78;11,78;NFAY_ANT_CPMM_357x577
R3;Magasfényű krém;718x577;0.414;1;0.4143;22,21;22,21;NFAY_ANT_BGMM_718x577
R3;Magasfényű antracit;384x597;0.229;1;0.2292;13,11;13,11;NFAY_ANT_ANMM_384x597
R3;Matt antracit;900x195;0.176;1;0.1755;8,78;8,78;NFAY_ANT_GFA_900x195
R3;Matt antracit;590x105;0.062;1;0.0620;3,10;3,10;NFAY_ANT_GFA_590x105
R3;Matt antracit;500x195;0.098;1;0.0975;4,88;4,88;NFAY_ANT_GFA_500x195
R3;Matt antracit;500x105;0.053;1;0.0525;2,63;2,63;NFAY_ANT_GFA_500x105
R3;Matt antracit;2000x190;0.380;1;0.3800;19,02;19,02;NFAY_ANT_GFA_2000x190
LAURA/D;Matt antracit;454x597;0.271;1;0.2710;15,50;15,50;NFA_LU_GFA_454x597
LAURA/D;Matt antracit;718x322;0.231;2;0.4624;13,22;26,44;NFA_LU_GFA_718x322
ZILLE/P;Uni Beige;718x397;0.285;8;2.2800;14,27;114,16;NFA_ZI_BGF_718x397
ZILLE/P;Uni Beige;125x497;0.062;1;0.0621;3,11;3,11;NFA_ZI_BGF_125x497
ZILLE/P;Uni Beige;293x447;0.131;2;0.2620;6,56;13,12;NFA_ZI_BGF_293x447
ZILLE/P;Uni Beige;718x260;0.187;1;0.1867;9,34;9,34;NFA_ZI_BGF_718x260
R3;Matt Platinum Grey;718x447;0.321;3;0.9627;16,06;48,18;NFA_ANT_SZA_718x447
R3;Pure White;675x247;0.167;2;0.3334;8,34;16,68;NFA_ANT_FEAS_675x247
