termek;szin;meret;m2;db;ossz_m2;egyseg_ar;netto_ar;kod
R3;Magasfényű antracit;125x597;0.075;10;0.7460;3,95;39,50;NFA_ANT_ANMM_125x597
R3;Magasfényű antracit;125x897;0.112;5;0.5605;5,94;29,70;NFA_ANT_ANMM_125x897
R3;Magasfényű antracit;1313x597;0.784;5;3.9195;41,51;207,55;NFA_ANT_ANMM_1313x597
R3;Magasfényű antracit;293x397;0.116;5;0.5815;6,16;30,80;NFA_ANT_ANMM_293x397
R3;Magasfényű antracit;357x100;0.036;5;0.1785;1,89;9,45;NFAL_ANT_ANMM_357x100
R3;Magasfényű antracit;357x797;0.285;5;1.4225;15,07;75,35;NFA_ANT_ANMM_357x797
R3;Magasfényű antracit;357x897;0.320;5;1.6010;16,96;84,80;NFA_ANT_ANMM_357x897
R3;Magasfényű antracit;590x597;0.352;5;1.7610;18,65;93,25;NFA_ANT_ANMM_590x597
R3;Magasfényű antracit;718x197;0.141;10;1.4140;7,49;74,90;NFA_ANT_ANMM_718x197
R3;Magasfényű antracit;718x420;0.302;5;1.5080;15,97;79,85;NFA_ANT_ANMM_718x420
R3;Magasfényű antracit;718x447;0.321;15;4.8135;17,00;255,00;NFA_ANT_ANMM_718x447
R3;Artizán tölgy;125x497;0.062;5;0.3105;3,02;15,10;NFA_ANT_ARF_125x497
R3;Artizán tölgy;293x797;0.234;5;1.1675;11,34;56,70;NFA_ANT_ARF_293x797
R3;Artizán tölgy;590x247;0.146;5;0.7285;7,07;35,35;NFA_ANT_ARF_590x247
R3;Artizán tölgy;590x597;0.352;5;1.7610;17,10;85,50;NFA_ANT_ARF_590x597
R3;Artizán tölgy;675x297;0.201;5;1.0025;9,73;48,65;NFA_ANT_ARF_675x297
R3;Artizán tölgy;675x597;0.403;5;2.0150;19,56;97,80;NFA_ANT_ARF_675x597
R3;Artizán tölgy;718x197;0.141;10;1.4140;6,87;68,70;NFA_ANT_ARF_718x197
R3;Artizán tölgy;718x322;0.231;5;1.1560;11,22;56,10;NFA_ANT_ARF_718x322
R3;Artizán tölgy;718x497;0.357;10;3.5680;17,32;173,20;NFA_ANT_ARF_718x497
R3;Magasfényű krém;115x597;0.069;5;0.3435;3,41;17,05;NFA_ANT_BGMM_115x597
R3;Magasfényű krém;125x597;0.075;10;0.7460;3,71;37,10;NFA_ANT_BGMM_125x597
R3;Magasfényű krém;1313x597;0.784;5;3.9195;38,92;194,60;NFA_ANT_BGMM_1313x597
R3;Magasfényű krém;293x597;0.175;15;2.6235;8,68;130,20;NFA_ANT_BGMM_293x597
R3;Magasfényű krém;327x597;0.195;5;0.9760;9,69;48,45;NFA_ANT_BGMM_327x597
R3;Magasfényű krém;357x597;0.213;20;4.2620;10,58;211,60;NFA_ANT_BGMM_357x597
R3;Magasfényű krém;357x697;0.249;5;1.2440;12,35;61,75;NFA_ANT_BGMM_357x697
