termek;szin;meret;m2;db;ossz_m2;egyseg_ar;netto_ar;kod
ZILLE/P;Wotan tölgy;718x597;0.429;30;12.8580;22,47;674,10;NFA_ZI_WTF_718x597
ZILLE/P;Wotan tölgy;718x447;0.321;20;6.4180;16,82;336,40;NFA_ZI_WTF_718x447
ZILLE/P;Wotan tölgy;718x297;0.213;15;3.1980;11,18;167,70;NFA_ZI_WTF_718x297
LAURA/D;Matt Platinum Grey;675x247;0.167;2;0.3334;9,54;19,08;NFA_LU_SZA_675x247
LAURA/D;Matt Platinum Grey;293x397;0.116;4;0.4652;6,65;26,60;NFA_LU_SZA_293x397
LAURA/D;Matt provence;596x597;0.356;1;0.3558;20,35;20,35;NFA_LU_PRA_596x597
LAURA/D;Matt Dusk White;718x747;0.536;1;0.5363;30,68;30,68;NFA_LU_FEA_718x747
LAURA/D;Matt Dusk White;357x747;0.267;1;0.2667;15,25;15,25;NFA_LU_FEA_357x747
LAURA/D;Matt Dusk White;1313x747;0.981;1;0.9808;56,10;56,10;NFA_LU_FEA_1313x747
R3;Magasfényű fehér;718x447;0.321;50;16.0450;17,21;860,50;NFA_ANT_FFMM_718x447
R3;Magasfényű fehér;718x322;0.231;10;2.3120;12,40;124,00;NFA_ANT_FFMM_718x322
R3;Magasfényű fehér;718x247;0.177;5;0.8865;9,51;47,55;NFA_ANT_FFMM_718x247
R3;Magasfényű fehér;125x597;0.075;25;1.8650;4,00;100,00;NFA_ANT_FFMM_125x597
R3;Magasfényű latte;357x747;0.267;5;1.3335;15,25;76,25;NFA_ANT_CPMM_357x747
R3;Magasfényű latte;357x647;0.231;5;1.1550;13,21;66,05;NFA_ANT_CPMM_357x647
R3;Magasfényű latte;357x597;0.213;15;3.1965;12,19;182,85;NFA_ANT_CPMM_357x597
R3;Magasfényű latte;293x897;0.263;10;2.6280;15,03;150,30;NFA_ANT_CPMM_293x897
R3;Magasfényű krém;718x447;0.321;40;12.8360;17,21;688,40;NFA_ANT_BGMM_718x447
R3;Magasfényű krém;718x397;0.285;35;9.9750;15,28;534,80;NFA_ANT_BGMM_718x397
R3;Magasfényű krém;718x347;0.249;10;2.4910;13,36;133,60;NFA_ANT_BGMM_718x347
R3;Magasfényű krém;357x547;0.195;10;1.9530;10,47;104,70;NFA_ANT_BGMM_357x547
R3;Magasfényű krém;293x897;0.263;5;1.3140;14,09;70,45;NFA_ANT_BGMM_293x897
R3;Cedar Green;718x297;0.213;20;4.2640;10,67;213,40;NFA_ANT_PRA_718x297
R3;Cedar Green;718x297;0.213;30;6.3960;10,67;320,10;NFA_ANT_PRA_718x297
R3;Cedar Green;357x897;0.320;5;1.6010;16,03;80,15;NFA_ANT_PRA_357x897
R3;Cedar Green;357x897;0.320;5;1.6010;16,03;80,15;NFA_ANT_PRA_357x897
R3;Cedar Green;357x347;0.124;10;1.2390;6,20;62,00;NFA_ANT_PRA_357x347
R3;Cedar Green;357x347;0.124;10;1.2390;6,20;62,00;NFA_ANT_PRA_357x347
R3;Matt Dusk White;675x247;0.167;2;0.3334;8,34;16,68;NFA_ANT_FEA_675x247
R3;Dune Beige;718x597;0.429;50;21.4300;21,45;1072,50;NFA_ANT_KAF_718x597
R3;Dune Beige;718x547;0.393;5;1.9635;19,66;98,30;NFA_ANT_KAF_718x547
R3;Dune Beige;718x547;0.393;5;1.9635;19,66;98,30;NFA_ANT_KAF_718x547
R3;Dune Beige;718x447;0.321;35;11.2315;16,06;562,10;NFA_ANT_KAF_718x447
R3;Dune Beige;718x447;0.321;40;12.8360;16,06;642,40;NFA_ANT_KAF_718x447
R3;Dune Beige;718x322;0.231;5;1.1560;11,57;57,85;NFA_ANT_KAF_718x322
R3;Dune Beige;718x322;0.231;5;1.1560;11,57;57,85;NFA_ANT_KAF_718x322
R3;Dune Beige;357x897;0.320;10;3.2020;16,03;160,30;NFA_ANT_KAF_357x897
R3;Artizán tölgy;718x297;0.213;25;5.3300;11,18;279,50;NFA_ANT_ARF_718x297
Dfoz;Cedar Green;824x570;0.470;1;0.4697;26,87;26,87;NFAY_LU_PRAS_824x570
LAURA/D;Matt provence;1258x397;0.499;1;0.4994;28,57;28,57;NFAY_LU_PRA_1258x397
LAURA/D;Matt Dusk White;375x567;0.213;2;0.4252;12,16;24,32;NFAY_LU_FEA_375x567
R3;Magasfényű latte;718x147;0.106;1;0.1055;6,04;6,04;NFAY_ANT_CPMM_718x147
R3;Magasfényű krém;1273x597;0.760;1;0.7600;40,75;40,75;NFAY_ANT_BGMM_1273x597
R3;Matt Dusk White;789x616;0.486;1;0.4860;24,33;24,33;NFAY_ANT_FEA_789x616
R3;Matt Dusk White;778x556;0.433;1;0.4326;21,65;21,65;NFAY_ANT_FEA_778x556
R3;Matt Dusk White;428x556;0.238;1;0.2380;11,91;11,91;NFAY_ANT_FEA_428x556
R3;Dune Beige;515x595;0.306;1;0.3064;15,34;15,34;NFAY_ANT_KAF_515x595
R3;Dune Beige;292x596;0.174;2;0.3480;8,71;17,42;NFAY_ANT_KAF_292x596
LAURA/D - Üveges;Matt Dusk White;357x797;0.285;1;0.2845;16,28;16,28;NFAU_LU_FEA_357x797
ZILLE/P;Palo Santo Beige;655x397;0.260;5;1.3000;13,01;65,05;NFAIA_ZI_BGAS_655x397_J
ZILLE/P;Palo Santo Beige;655x397;0.260;5;1.3000;13,01;65,05;NFAIA_ZI_BGAS_655x397_B
L1/P;Palo Santo Beige;125x797;0.100;5;0.4980;4,99;24,95;NFAB_ZI_BGAS_125x797
R3;Matt Dusk White;675x247;0.167;2;0.3334;8,34;16,68;NFA_ANT_FEA_675x247
LAURA/D;Matt Dusk White;1313x747;0.981;1;0.9808;56,10;56,10;NFA_LU_FEA_1313x747
LAURA/D;Matt Dusk White;718x747;0.536;1;0.5363;30,68;30,68;NFA_LU_FEA_718x747
LAURA/D;Matt Dusk White;718x747;0.536;1;0.5363;30,68;30,68;NFA_LU_FEA_718x747
LAURA/D;Matt Dusk White;357x747;0.267;1;0.2667;15,25;15,25;NFA_LU_FEA_357x747
LAURA/D;Matt Platinum Grey;293x397;0.116;4;0.4652;6,65;26,60;NFA_LU_SZA_293x397
