termek;szin;meret;m2;db;ossz_m2;egyseg_ar;netto_ar;kod
LAURA/D;Matt Dusk White;357x597;0.213;10;2.1310;12,19;121,90;NFA_LU_FEA_357x597
LAURA/D;Matt Dusk White;357x747;0.267;1;0.2667;15,25;15,25;NFA_LU_FEA_357x747
LAURA/D - Üveges;Matt Dusk White;718x397;0.285;5;1.4250;16,30;81,50;NFAU_LU_FEA_718x397
LAURA/D;Matt Dusk White;1265x380;0.481;1;0.4807;27,50;27,50;NFAY_LU_FEA_1265x380
LAURA/D - Üveges;Matt Dusk White;718x374;0.269;2;0.5370;15,36;30,72;NFAY_LU_FEA_718x374
R3;Magasfényű krém;718x347;0.249;5;1.2455;13,36;66,80;NFA_ANT_BGMM_718x347
LAURA/D;Matt Platinum Grey;675x247;0.167;2;0.3334;9,54;19,08;NFA_LU_SZA_675x247
R3;Dune Beige;718x447;0.321;30;9.6270;16,06;481,80;NFA_ANT_KAF_718x447
LAURA/D;Matt Mussel;609x468;0.285;1;0.2850;16,30;16,30;NFAY_LU_BGA_609x468
ZILLE/P;Palo Santo Beige;590x350;0.207;1;0.2065;10,34;10,34;NFAY_ZI_BGAS_590x350
Dfoz;Cedar Green;595x355;0.211;4;0.8448;12,08;48,32;NFAY_LU_PRAS_595x355
Dfoz;Cedar Green;2300x95;0.219;1;0.2185;12,50;12,50;NFAY_LU_PRAS_2300x95
Dfoz;Cedar Green;550x95;0.052;1;0.0523;2,99;2,99;NFAY_LU_PRAS_550x95
LAURA/D;Matt Dusk White;590x427;0.252;1;0.2519;14,41;14,41;NFAY_LU_FEA_590x427
